StudyID,school,female,eth,ell,sped,frpl,time,age,scw_s,coregpa,pn_bf1,pn_bf2,pn_scw,pn_scw2,avg_scw_tr
1026,p2,0,Hispanic,0,0,0,T1,13.666666666666666,3,79.66666666666667,1292,1229,1229,1273,3.5
1026,p2,0,Hispanic,0,0,0,T2,14.25,2.8,81.16666666666667,1229,1357,1273,NA,NA
1026,p2,0,Hispanic,0,0,0,T3,14.666666666666666,NA,NA,NA,NA,NA,NA,NA
1026,p2,0,Hispanic,0,0,0,T4,15.166666666666666,NA,NA,NA,NA,NA,NA,NA
1027,p2,0,Caucasian,0,0,0,T1,13.833333333333334,3.6,84.66666666666667,1421,1338,1339,1421,3
1027,p2,0,Caucasian,0,0,0,T2,14.5,4.2,80.66666666666667,1277,1415,1420,NA,NA
1027,p2,0,Caucasian,0,0,0,T3,14.916666666666666,3.6,75.66666666666667,NA,NA,NA,NA,3.6666666666666665
1027,p2,0,Caucasian,0,0,0,T4,15.333333333333334,3,80.83333333333333,1201,1047,NA,NA,4
1028,p2,1,AfricanAmerican,0,0,0,T1,13.333333333333334,4.6,84,1261,1204,1204,1320,4.25
1028,p2,1,AfricanAmerican,0,0,0,T2,13.916666666666666,4.2,87.66666666666667,1204,1261,1131,NA,NA
1028,p2,1,AfricanAmerican,0,0,0,T3,14.333333333333334,NA,NA,NA,NA,NA,NA,NA
1028,p2,1,AfricanAmerican,0,0,0,T4,14.833333333333334,NA,NA,NA,NA,NA,NA,NA
1030,p2,1,Caucasian,0,0,0,T1,13.75,4.2,91.66666666666667,1002,1006,1169,1096,4.5
1030,p2,1,Caucasian,0,0,0,T2,14.333333333333334,3.8,90.33333333333333,1006,1002,1022,NA,NA
1030,p2,1,Caucasian,0,0,0,T3,14.833333333333334,3.6,82.33333333333333,1097,1355,1057,NA,4.333333333333333
1030,p2,1,Caucasian,0,0,0,T4,15.25,3.6,76.16666666666667,1221,2296,2296,NA,4.333333333333333
1031,p2,0,Caucasian,0,0,0,T1,13.583333333333334,4.2,89,1101,1059,1323,1092,4.25
1031,p2,0,Caucasian,0,0,0,T2,14.166666666666666,4.2,91.66666666666667,1059,1192,1169,NA,NA
1031,p2,0,Caucasian,0,0,0,T3,14.666666666666666,4.2,84.33333333333333,1011,1199,1182,NA,4
1031,p2,0,Caucasian,0,0,0,T4,15.083333333333334,4.4,85,1011,1199,1131,NA,3.5
1032,p2,0,Caucasian,0,0,0,T1,13.916666666666666,3,86.33333333333333,1201,1169,1169,1073,3.5
1032,p2,0,Caucasian,0,0,0,T2,14.5,3.2,85.66666666666667,1201,1206,1022,NA,NA
1032,p2,0,Caucasian,0,0,0,T3,15,NA,NA,NA,NA,NA,NA,NA
1032,p2,0,Caucasian,0,0,0,T4,15.416666666666666,NA,NA,NA,NA,NA,NA,NA
1033,p2,0,Caucasian,0,0,0,T1,13.583333333333334,3.2,90,1169,1079,1109,1090,4.25
1033,p2,0,Caucasian,0,0,0,T2,14.166666666666666,3.4,91.83333333333333,1169,1011,1355,NA,NA
1033,p2,0,Caucasian,0,0,0,T3,14.583333333333334,3,83,1169,1011,1058,NA,4
1033,p2,0,Caucasian,0,0,0,T4,15.083333333333334,3.2,82.83333333333333,1327,2390,1058,NA,3.3333333333333335
1035,p2,1,AfricanAmerican,0,0,0,T1,14.083333333333334,4.4,90,1061,1070,1113,1139,4.25
1035,p2,1,AfricanAmerican,0,0,0,T2,14.75,3.4,90.375,1130,1070,1070,NA,NA
1035,p2,1,AfricanAmerican,0,0,0,T3,15.166666666666666,NA,NA,NA,NA,NA,NA,NA
1035,p2,1,AfricanAmerican,0,0,0,T4,15.583333333333334,NA,NA,NA,NA,NA,NA,NA
1036,p2,0,AfricanAmerican,0,0,0,T1,13.416666666666666,4,85,1252,1307,1251,1208,3.75
1036,p2,0,AfricanAmerican,0,0,0,T2,14,4,77.25,1037,1252,1082,NA,NA
1036,p2,0,AfricanAmerican,0,0,0,T3,14.5,NA,NA,NA,NA,NA,NA,NA
1036,p2,0,AfricanAmerican,0,0,0,T4,14.916666666666666,NA,NA,NA,NA,NA,NA,NA
1037,p2,0,Asian,0,0,0,T1,13.583333333333334,3.8,94,1211,1166,1173,1131,4.5
1037,p2,0,Asian,0,0,0,T2,14.166666666666666,3.4,94,1211,1102,1015,NA,NA
1037,p2,0,Asian,0,0,0,T3,14.583333333333334,4.6,86.33333333333333,1020,1323,1316,NA,4.333333333333333
1037,p2,0,Asian,0,0,0,T4,15.083333333333334,4.2,91.66666666666667,1323,1050,1323,NA,5
1039,p2,1,Caucasian,0,0,0,T1,14,2.4,90.66666666666667,1010,1015,1015,1131,4.5
1039,p2,1,Caucasian,0,0,0,T2,14.583333333333334,3.2,94.66666666666667,1015,1010,1015,NA,NA
1039,p2,1,Caucasian,0,0,0,T3,15,NA,NA,NA,NA,NA,NA,NA
1039,p2,1,Caucasian,0,0,0,T4,15.5,NA,NA,NA,NA,NA,NA,NA
1043,p2,0,Asian,0,0,0,T1,13.583333333333334,NA,NA,NA,NA,NA,NA,2.3333333333333335
1043,p2,0,Asian,0,0,0,T2,14.166666666666666,NA,NA,NA,NA,NA,NA,NA
1043,p2,0,Asian,0,0,0,T3,14.583333333333334,NA,NA,NA,NA,NA,NA,NA
1043,p2,0,Asian,0,0,0,T4,15.083333333333334,NA,NA,NA,NA,NA,NA,NA
1044,p2,1,AfricanAmerican,0,0,0,T1,13.166666666666666,4.4,90.66666666666667,1402,1308,1115,1355,3.75
1044,p2,1,AfricanAmerican,0,0,0,T2,13.75,4.8,93.33333333333333,1402,1220,1115,NA,NA
1044,p2,1,AfricanAmerican,0,0,0,T3,14.166666666666666,NA,NA,NA,NA,NA,NA,NA
1044,p2,1,AfricanAmerican,0,0,0,T4,14.666666666666666,NA,NA,NA,NA,NA,NA,NA
1045,p2,0,Caucasian,0,0,0,T1,13.75,3.8,82.33333333333333,1174,1329,1045,1329,3
1045,p2,0,Caucasian,0,0,0,T2,14.333333333333334,3.4,79,1415,1329,1131,NA,NA
1045,p2,0,Caucasian,0,0,0,T3,14.75,4.8,73,1114,1330,NA,NA,3
1045,p2,0,Caucasian,0,0,0,T4,15.25,4,73.66666666666667,1114,1019,1171,NA,2.5
1048,p2,0,Asian,1,0,0,T1,13.416666666666666,3.8,88.33333333333333,1054,1029,1032,1266,3.5
1048,p2,0,Asian,1,0,0,T2,14,3.8,87.33333333333333,1079,1109,1101,NA,NA
1048,p2,0,Asian,1,0,0,T3,14.416666666666666,4.2,NA,1382,1174,1101,NA,2.3333333333333335
1048,p2,0,Asian,1,0,0,T4,14.916666666666666,NA,NA,NA,NA,NA,NA,NA
1050,p2,0,Caucasian,0,0,0,T1,13.333333333333334,3.4,72.66666666666667,1186,1327,1186,1087,3
1050,p2,0,Caucasian,0,0,0,T2,13.916666666666666,3,81.25,1016,1327,1012,NA,NA
1050,p2,0,Caucasian,0,0,0,T3,14.333333333333334,3.4,78.66666666666667,1037,1166,1287,NA,4
1050,p2,0,Caucasian,0,0,0,T4,14.833333333333334,3.4,68.83333333333333,1037,1166,2011,NA,4.333333333333333
1052,p2,1,Caucasian,0,0,0,T1,13.166666666666666,3.4,96,1168,1239,1326,1075,3.75
1052,p2,1,Caucasian,0,0,0,T2,13.833333333333334,2.6,90.5,1077,1305,1127,NA,NA
1052,p2,1,Caucasian,0,0,0,T3,14.25,3.8,90.33333333333333,1077,1095,2001,NA,4.666666666666667
1052,p2,1,Caucasian,0,0,0,T4,14.666666666666666,3,87.33333333333333,1406,1095,1081,NA,4
1054,p2,0,Caucasian,0,0,0,T1,13.833333333333334,3.8,83.66666666666667,1029,1059,1083,1355,3.25
1054,p2,0,Caucasian,0,0,0,T2,14.416666666666666,3.4,86.25,1029,1059,1255,NA,NA
1054,p2,0,Caucasian,0,0,0,T3,14.833333333333334,NA,NA,NA,NA,NA,NA,NA
1054,p2,0,Caucasian,0,0,0,T4,15.333333333333334,NA,NA,NA,NA,NA,NA,NA
1056,p2,0,Caucasian,0,0,0,T1,13.75,3.2,89.33333333333333,1229,1230,1037,1140,3.75
1056,p2,0,Caucasian,0,0,0,T2,14.416666666666666,3,84.33333333333333,1229,1009,1251,NA,NA
1056,p2,0,Caucasian,0,0,0,T3,14.833333333333334,NA,NA,NA,NA,NA,NA,NA
1056,p2,0,Caucasian,0,0,0,T4,15.25,NA,NA,NA,NA,NA,NA,NA
1059,p2,0,Caucasian,0,0,0,T1,13.916666666666666,2.8,91.66666666666667,1054,1101,1201,1355,4.25
